report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,route_type,road_name,cross_street_type,cross_street_name,off_road_description,municipality,related_non_motorist,collision_type,weather,surface_condition,light,traffic_control,driver_substance_abuse,non_motorist_substance_abuse,person_id,driver_at_fault,injury_severity,circumstance,driver_distracted_by,drivers_license_state,vehicle_id,vehicle_damage_extent,vehicle_first_impact_location,vehicle_second_impact_location,vehicle_body_type,vehicle_movement,vehicle_continuing_dir,vehicle_going_dir,speed_limit,driverless_vehicle,parked_vehicle,vehicle_year,vehicle_make,vehicle_model,equipment_problems,latitude,longitude,geolocation
MCP242500GD,200039358,Montgomery County Police,Property Damage Crash,2020-10-06T15:02:00.000,US (State),COLESVILLE RD,County,LEIGHTON AVE,,,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,30B2CE39-1642-4375-AFBE-87DF3A2FE594,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,5AF061BF-3724-42A1-A913-CD487FF9073A,SUPERFICIAL,ELEVEN OCLOCK,ELEVEN OCLOCK,TRANSIT BUS,CHANGING LANES,North,North,35,No,No,2009,GILLIG,BUS,NO MISUSE,39.01076667,-77.01725833,"
,  
(39.01076667, -77.01725833)"
MCP3023003X,200039394,Montgomery County Police,Injury Crash,2020-10-06T14:45:00.000,Maryland (State),LAYHILL RD,County,GLENALLAN AVE,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,939ABFF9-DDF6-4E19-AE6F-1C3BC115241F,Yes,POSSIBLE INJURY,,NOT DISTRACTED,IT,46A66C30-FFEC-4830-B51D-FD3AC33C1838,DISABLING,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,No,No,2020,NISSIAN,ALT,NO MISUSE,39.0632145,-77.05013417,"
,  
(39.0632145, -77.05013417)"
MCP3023003X,200039394,Montgomery County Police,Injury Crash,2020-10-06T14:45:00.000,Maryland (State),LAYHILL RD,County,GLENALLAN AVE,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,52671065-92F5-4610-888B-49274A151B43,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,529CE473-5169-4B5C-BF5F-A05F96DF17FA,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,North,North,25,No,No,2013,ACUR,4S,NO MISUSE,39.0632145,-77.05013417,"
,  
(39.0632145, -77.05013417)"
MCP2353008D,200039346,Montgomery County Police,Injury Crash,2020-10-06T14:05:00.000,Maryland (State),OLD GEORGETOWN RD,County,NORTH BROOK LA,,,,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,24B91C71-59EE-4562-B624-FB0D9A80C6E9,Yes,NO APPARENT INJURY,,UNKNOWN,MD,DAAC7FC3-D481-4493-853D-806C923D459B,FUNCTIONAL,ONE OCLOCK,ONE OCLOCK,PICKUP TRUCK,SLOWING OR STOPPING,South,South,30,No,No,2012,FORD,F350,NO MISUSE,38.991275,-77.10502333,"
,  
(38.991275, -77.10502333)"
MCP2353008D,200039346,Montgomery County Police,Injury Crash,2020-10-06T14:05:00.000,Maryland (State),OLD GEORGETOWN RD,County,NORTH BROOK LA,,,,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,B5A8FE5A-4F84-4857-B3D0-9C94ABDDBF22,No,POSSIBLE INJURY,,UNKNOWN,MD,6EACE1FC-A798-41B5-9E7B-15E627779703,DISABLING,SIX OCLOCK,SIX OCLOCK,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,South,South,30,No,No,2014,HONDA,CRV,NO MISUSE,38.991275,-77.10502333,"
,  
(38.991275, -77.10502333)"
DD56280039,200039334,Rockville Police Departme,Injury Crash,2020-10-06T13:12:00.000,Municipality,BALTIMORE RD,Municipality,S STONESTREET AVE,,ROCKVILLE,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,B687DB92-066A-4689-A867-F8CCAD9936F8,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,415CCE86-7EAE-409B-A20F-F6307C353405,NO DAMAGE,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MAKING RIGHT TURN,North,West,25,No,No,2015,JEEP,TK,NO MISUSE,39.08293725,-77.14348365,"
,  
(39.08293725, -77.14348365)"
MCP2637003V,200039289,Montgomery County Police,Injury Crash,2020-10-06T08:15:00.000,County,QUINCE ORCHARD RD,County,WONDER VIEW WAY,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,427881F1-4231-452D-8EAB-501C0F259E86,Yes,POSSIBLE INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",OTHER DISTRACTION,MD,997A30B5-EF5A-4B5B-B9BB-2C3BF15552C4,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,30,No,No,2019,MAZDA,CX-9,NO MISUSE,39.09881667,-77.25243,"
,  
(39.09881667, -77.25243)"
MCP158000D8,200039286,Montgomery County Police,Property Damage Crash,2020-10-06T07:53:00.000,Municipality,FIRSTFIELD RD,Maryland (State),CLOPPER RD,,,,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,,D3E8D593-994E-4773-8FF9-97A8F8A650D9,Yes,NO APPARENT INJURY,,UNKNOWN,MD,08C60A5F-7982-4F19-80DA-1ED9FEB73F0B,NO DAMAGE,UNKNOWN,UNKNOWN,PICKUP TRUCK,MAKING LEFT TURN,North,East,30,No,No,2019,FORD,F250 PU,NO MISUSE,39.14327,-77.22394333,"
,  
(39.14327, -77.22394333)"
MCP158000D8,200039286,Montgomery County Police,Property Damage Crash,2020-10-06T07:53:00.000,Municipality,FIRSTFIELD RD,Maryland (State),CLOPPER RD,,,,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,16D5F75A-A76F-40A2-849E-35E314D8AE6B,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,0D9E8303-5A0C-4D5D-A751-65FFF12A07CF,FUNCTIONAL,ELEVEN OCLOCK,ELEVEN OCLOCK,TRANSIT BUS,STOPPED IN TRAFFIC LANE,East,East,30,No,No,2019,GILG,BUS,NO MISUSE,39.14327,-77.22394333,"
,  
(39.14327, -77.22394333)"
MCP2639009T,200039284,Montgomery County Police,Injury Crash,2020-10-06T07:30:00.000,Maryland (State),LAYHILL RD,County,BRIGGS RD,,,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,A1F5F0BD-58C3-4D4C-AB42-397ED06C4107,Yes,NO APPARENT INJURY,,OTHER DISTRACTION,MD,BBB9EE6D-79B0-4125-90A6-BD5AC669F186,NO DAMAGE,TWO OCLOCK,TWO OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,West,30,No,No,2005,HONDA,CIVIC,NO MISUSE,39.06889333,-77.04515500000001,"
,  
(39.06889333, -77.045155)"
